requirement,existing_implementation,executed_evidence,missing_piece,action
explicit APPROVED/REJECTED decision semantics,none - QualityCheckRequest carries no verdict field,not executed,"a rejection could not be expressed at all, so the only recordable outcome was approval","IMPLEMENTED: QualityDecision with exactly two values, and permits_transition false for REJECTED"
dataset id,"QualityCheckRequest.dataset_public_id, guarded against the manifest",exercised by tests/unit/normalization/test_quality_transition.py,nothing,REUSED
named reviewer identity,"QualityCheckRequest.reviewed_by, required, no default",exercised,nothing,REUSED
reviewer role,none - only a name string is recorded,not executed,"who the reviewer was speaking as was not recorded, so a name could not be checked against an authority","IMPLEMENTED: reviewer_role, required, no default"
rationale,"QualityCheckRequest.rationale, required",exercised,nothing,REUSED
decision timestamp,"QualityCheckRequest.reviewed_at, required",exercised,no timezone requirement,IMPLEMENTED: a naive instant is refused
exact DQ artifact hash,read from the build and written into the audit event,exercised,it was recorded but not bound - nothing re-checked it later,IMPLEMENTED: dq_artifact_hash is bound and re-measured on use
exact source-policy hash,"none - the snapshot manifest has source_policy_content_hash, the quality decision has nothing",not executed,a decision could not say which source policy was in force when the data it approves was acquired,"IMPLEMENTED: source_policy_hash, bound and re-measured"
immutable / audited storage,AuditEvent DATASET_QUALITY_CHECKED through the unit of work,exercised with a fake unit of work; never against a real database,"the audit row lives only in a database nobody here can reach, so there was no durable record in the repository","IMPLEMENTED: an append-only NDJSON ledger beside the data, in addition to the audit event"
replay / idempotency refusal,"expected_current_state guard, applied inside the transaction",exercised,the guard refuses a second transition but not a second decision,IMPLEMENTED: a second verdict on the same dataset and report is refused and names the standing decision
stale-hash refusal,"verify_build, compare_with_artifacts and schema validation before the transaction opens",exercised,"these check the build against itself, not a decision against the build",IMPLEMENTED: a decision whose bound digests no longer match is refused and the problem names both halves
rejected-decision behaviour,none,not executed,there was no rejection path,"IMPLEMENTED: recorded, audited, transitions nothing, and the record says the dataset is not release-eligible"
authorization boundary,the service refuses to invent a reviewer; the CLI states it cannot record a decision,exercised,"no role or authority check, because no role was recorded","PARTIAL: the role is now recorded; checking it against an authority needs the WP-23 role assignments, which are empty by design"
dataset lifecycle wiring,CanonicalDatasetService.record_quality_check performs BUILDING -> QUALITY_CHECKED,exercised with a fake unit of work,nothing connected a decision to it,"IMPLEMENTED: record_dataset_quality_decision records first, then attempts the existing transition only for an approval"
database persistence,the unit of work writes the row and the audit event,never executed,no PostgreSQL driver is installable in either available environment,BLOCKED_BY_EXTERNAL_ACCESS: the path exists and is unit-tested; it has not been run against a real database
operator CLI / API path,pgx-normalize quality-gate reports the gate and says it cannot record a decision,exercised,there was no command that could record one,"NOT IMPLEMENTED IN THIS WAVE: a command that records a real decision should not be added before a real dataset and a named data owner exist. The service is callable and tested; the operator surface is a deliberate gap, named here rather than filled with a stub."
machine-readable decision artifact,none,not executed,the audit event was the only record and it is not in the repository,IMPLEMENTED: data/canonical/dataset-quality-decisions.ndjson
human-readable review record,none,not executed,nothing rendered the ledger for a reader,"IMPLEMENTED: render_review_record, and this checkpoint package"
