decision_id,source_key,current_status,target_status,proposed_disposition,rationale,licence_as_read,reuse_dimensions_the_licence_would_support,decision_owner
H01-D01,aha.publications,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D02,ausnz.publications,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D03,clinpgx.api,PENDING_REVIEW,PENDING_REVIEW,ESCALATE_BEFORE_ANY_ACQUISITION,The source's own terms contradict themselves or are unreachable. A maintainer cannot resolve this; material already acquired under undetermined terms.,UNKNOWN,none established,source policy approver
H01-D04,clinpgx.website,PENDING_REVIEW,PENDING_REVIEW,ESCALATE_BEFORE_ANY_ACQUISITION,The source's own terms contradict themselves or are unreachable. A maintainer cannot resolve this; licence contradicts its own use restriction.,CC-BY-SA-4.0 WITH AN INCOMPATIBLE OVERLAY,LOCAL_STORAGE; INTERNAL_ANALYSIS,source policy approver
H01-D05,cpic.api,PENDING_REVIEW,PENDING_REVIEW,APPROVE_FOR_ACQUISITION_SUBJECT_TO_NAMED_CONDITIONS,A public-domain dedication was read from the provider's own distribution. The conditions are in unresolved-questions.md and are not waived by this proposal.,CC0-1.0,LOCAL_STORAGE; INTERNAL_ANALYSIS; DERIVED_WORK_CREATION,source policy approver
H01-D06,cpic.database,PENDING_REVIEW,PENDING_REVIEW,APPROVE_FOR_ACQUISITION_SUBJECT_TO_NAMED_CONDITIONS,A public-domain dedication was read from the provider's own distribution. The conditions are in unresolved-questions.md and are not waived by this proposal.,CC0-1.0,LOCAL_STORAGE; INTERNAL_ANALYSIS; DERIVED_WORK_CREATION; AGGREGATED_REDISTRIBUTION; VERBATIM_REDISTRIBUTION; COMMERCIAL_USE; BULK_DOWNLOAD; THIRD_PARTY_SHARING; PUBLIC_DISPLAY,source policy approver
H01-D07,cpic.publications,PENDING_REVIEW,PENDING_REVIEW,RESEARCH_FURTHER_BEFORE_DECIDING,Required by the first release but its terms are not established. Absence of a statement is not permission.,UNKNOWN,none established,source policy approver
H01-D08,cpnds.publications,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D09,dpwg.knmp,PENDING_REVIEW,PENDING_REVIEW,ESCALATE_BEFORE_ANY_ACQUISITION,The source's own terms contradict themselves or are unreachable. A maintainer cannot resolve this; authoritative but no stated terms.,UNKNOWN,none established,source policy approver
H01-D10,druglabel.ema,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
